Date,Indian rupee (INR)
22-11-1979,3189.66
23-11-1979,3167.58
26-11-1979,3171.99
27-11-1979,3178.67
28-11-1979,3250.59
29-11-1979,3286.54
30-11-1979,3310.29
03-12-1979,3392.28
04-12-1979,3520.03
05-12-1979,3473.04
06-12-1979,3513.05
07-12-1979,3512.48
10-12-1979,3521.22
11-12-1979,3583.37
12-12-1979,3648.78
13-12-1979,3701.55
14-12-1979,3713.98
17-12-1979,3739.68
18-12-1979,3832.28
19-12-1979,3988.04
20-12-1979,3863.07
21-12-1979,3839.08
24-12-1979,3831.69
25-12-1979,3831.69
26-12-1979,3831.69
27-12-1979,4033.71
28-12-1979,4106.49
31-12-1979,4189.64
01-01-1980,4189.64
02-01-1980,4438.86
03-01-1980,5023.01
04-01-1980,4742.19
07-01-1980,4985.1
08-01-1980,4852.79
09-01-1980,4746.35
10-01-1980,4832.57
11-01-1980,4851.16
14-01-1980,5113.87
15-01-1980,5385.81
16-01-1980,6066.57
17-01-1980,5751.92
18-01-1980,6496.22
21-01-1980,6710.04
22-01-1980,6074.46
23-01-1980,5166.88
24-01-1980,5660.96
25-01-1980,5533.18
28-01-1980,5066.12
29-01-1980,5432.16
30-01-1980,5616.57
31-01-1980,5329.61
01-02-1980,5385.32
04-02-1980,5330.72
05-02-1980,5243.79
06-02-1980,5467.27
07-02-1980,5560.17
08-02-1980,5443.78
11-02-1980,5636.62
12-02-1980,5567.6
13-02-1980,5475.31
14-02-1980,5405.72
15-02-1980,5352.19
18-02-1980,5260.19
19-02-1980,5292.9
20-02-1980,4980.62
21-02-1980,5138.4
22-02-1980,5138.14
25-02-1980,4992.86
26-02-1980,5092.09
27-02-1980,5022.32
28-02-1980,5097.43
29-02-1980,5138.08
03-03-1980,5159.64
04-03-1980,5137.15
05-03-1980,5200.39
06-03-1980,5143.98
07-03-1980,4893.18
10-03-1980,4909.16
11-03-1980,4616.08
12-03-1980,4709.74
13-03-1980,4667.46
14-03-1980,4093.85
17-03-1980,3933.37
18-03-1980,3844.19
19-03-1980,4181.66
20-03-1980,4553.65
21-03-1980,4367.78
24-03-1980,4440.95
25-03-1980,4474.39
26-03-1980,4272.94
27-03-1980,3975.03
28-03-1980,4010.51
31-03-1980,4155.35
01-04-1980,4239.39
02-04-1980,4064.9
03-04-1980,4037.07
04-04-1980,4037.07
07-04-1980,4037.07
08-04-1980,4211.69
09-04-1980,4425.36
10-04-1980,4354.69
11-04-1980,4296.35
14-04-1980,4289.65
15-04-1980,4016.33
16-04-1980,4108.51
17-04-1980,4118.01
18-04-1980,4127.04
21-04-1980,4095.66
22-04-1980,3964.22
23-04-1980,4009.99
24-04-1980,4089.54
25-04-1980,4369.92
28-04-1980,4230.5
29-04-1980,4084.79
30-04-1980,4155.21
01-05-1980,4060.12
02-05-1980,4065.53
05-05-1980,4065.53
06-05-1980,4089.61
07-05-1980,4035.04
08-05-1980,4060.25
09-05-1980,4062.02
12-05-1980,4027.61
13-05-1980,4041.1
14-05-1980,4089.65
15-05-1980,4061.27
16-05-1980,4089.82
19-05-1980,4071.62
20-05-1980,4029.38
21-05-1980,3987.75
22-05-1980,4115.67
23-05-1980,3968.62
26-05-1980,3968.62
27-05-1980,3915.44
28-05-1980,4075.74
29-05-1980,4068.39
30-05-1980,4152.26
02-06-1980,4419.7
03-06-1980,4407.84
04-06-1980,4478.8
05-06-1980,4573.12
06-06-1980,4606.79
09-06-1980,4897.75
10-06-1980,4756.93
11-06-1980,4676.55
12-06-1980,4617.15
13-06-1980,4768.46
16-06-1980,4690.62
17-06-1980,4646.33
18-06-1980,4732.04
19-06-1980,4691.67
20-06-1980,4742.9
23-06-1980,4662.13
24-06-1980,4710.47
25-06-1980,4889.56
26-06-1980,4877.3
27-06-1980,4937
30-06-1980,5150.43
01-07-1980,5102.19
02-07-1980,5235.04
03-07-1980,5198.66
04-07-1980,5193.63
07-07-1980,5107.66
08-07-1980,5353.55
09-07-1980,5271.49
10-07-1980,5165.92
11-07-1980,5147.9
14-07-1980,5031.39
15-07-1980,4828.31
16-07-1980,4856.55
17-07-1980,4883.37
18-07-1980,4741.97
21-07-1980,4803.91
22-07-1980,4726.75
23-07-1980,4891.77
24-07-1980,4894.39
25-07-1980,5038.61
28-07-1980,4958.84
29-07-1980,5038.03
30-07-1980,5002.75
31-07-1980,4813.23
01-08-1980,5013.99
04-08-1980,4846.42
05-08-1980,4892.37
06-08-1980,4851.17
07-08-1980,4913.84
08-08-1980,4902.9
11-08-1980,4769.37
12-08-1980,4762.27
13-08-1980,4776.44
14-08-1980,4830.48
15-08-1980,4845.58
18-08-1980,4719.26
19-08-1980,4847.06
20-08-1980,4846.25
21-08-1980,4981.63
22-08-1980,4966.83
25-08-1980,4966.83
26-08-1980,4871.63
27-08-1980,4884.04
28-08-1980,4915.7
29-08-1980,4903.62
01-09-1980,4823.32
02-09-1980,4860.02
03-09-1980,4905.66
04-09-1980,4905.3
05-09-1980,5000.6
08-09-1980,5073.15
09-09-1980,5233.45
10-09-1980,5306.26
11-09-1980,5212.18
12-09-1980,5343.69
15-09-1980,5195.95
16-09-1980,5192.01
17-09-1980,5239.73
18-09-1980,5228.49
19-09-1980,5231.27
22-09-1980,5375.06
23-09-1980,5587.25
24-09-1980,5513.09
25-09-1980,5467.41
26-09-1980,5413.61
29-09-1980,5325.98
30-09-1980,5211.3
01-10-1980,5267.79
02-10-1980,5249.43
03-10-1980,5202.82
06-10-1980,5185.5
07-10-1980,5265.47
08-10-1980,5223.45
09-10-1980,5273.95
10-10-1980,5276.01
13-10-1980,5254.99
14-10-1980,5211.22
15-10-1980,5230.4
16-10-1980,5187.96
17-10-1980,5145.15
20-10-1980,5075.8
21-10-1980,5026.99
22-10-1980,5079.07
23-10-1980,4986.73
24-10-1980,4856.16
27-10-1980,4893.87
28-10-1980,4869.01
29-10-1980,4954.28
30-10-1980,4955.7
31-10-1980,4911.2
03-11-1980,4864.65
04-11-1980,4977.53
05-11-1980,5045.7
06-11-1980,4903.26
07-11-1980,4644.88
10-11-1980,4787
11-11-1980,4656.62
12-11-1980,4723.74
13-11-1980,4737.44
14-11-1980,4764.94
17-11-1980,4712.37
18-11-1980,4615.67
19-11-1980,4912.33
20-11-1980,4930.16
21-11-1980,5008.56
24-11-1980,4993.74
